,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subject Name, Event Name, Channel Name, Start time, End Time, 
001-SART-August2017-MB,211  Current Item: 3,A-DC1,35040.0,76573.0,17407,17350,17335,17342,17325,17337,17318,17281,17278,17295,17339,17295,17315,17283,17339,17388,17399,17402,17366,17402,17450,17505,17482,17491,17478,17539,17605,17593,17569,17573,17591,17623,17732,17622,17642,17697,17693,17700,17650,17647,17648,17611,17618,17589,17580,17548,17492,17523,17605,17579,17584,17568,17633,17669,17654,17610,17591,17635,17684,17672,17625,17592,17599,17603,17630,17562,17542,17540,17592,17646,17608,17594,17581,17611,17651,17659,17629,17627,17631,17694,17698,17659,17630,17652,17657,17683,17700,17658,17624,17638,17692,17664,17672,17663,17677,17699,17709,17720,17684,17681,17711,17711,17711,17790,17722,17666,17629,17648,17648,17685,17629,17631,17525,17548,17548,17548,17602,17643,17638,17560,17563,17624,17624,17635,17635,17641,17601,17629,17629,17660,17659,17654,17625,17617,17645,17645,17676,17652,17651,17641,17660,17660,17660,17676,17683,17674,17670,17675,17718,17718,17746,17722,17707,17718,17718,17741,17741,17772,17772,17758,17726,17722,17735,17773,17790,17790,17751,17745,17705,17718,17718,17755,17755,17738,17721,17685,17704,17711,17711,17699,17683,17677,17671,17700,17700,17700,17686,17693,17666,17666,17678,17736,17736,17723,17697,17661,17702,17702,17716,17716,17711,17696,17651,17653,17700,17724,17724,17696,17676,17642,17667,17678,17678,17678,17681,17688,17632,17642,17660,17699,17699,17675,17654,17636,17674,17691,17691,17704,17704,17708,17660,17689,17724,17768,17768,17728,17673,17699,17716,17715,17715,17698,17698,17698,17669,17667,17677,17689,17689,17683,17666,17623,17631,17642,17642,17642,17747,17740,17763,17776,17789,17845,17845,17799,17754,17705,17679,17675,17675,17675,17695,17714,17726,17737,17742,17785,17785,17732,17723,17654,17686,17687,17687,17687,17701,17663,17603,17529,17532,17531,17531,17486,17443,17379,17386,17386,17417,17417,17431,17433,17455,17476,17490,17490,17528,17484,17489,17475,17501,17501,17521,17521,17509,17525,17535,17550,17539,17539,17582,17507,17477,17442,17451,17451,17451,17473,17451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001-SART-August2017-MB,211  Current Item: 3,A-DC1,64434.0,105950.0,17636,17674,17691,17691,17704,17704,17708,17660,17689,17724,17768,17768,17728,17673,17699,17716,17715,17715,17698,17698,17698,17669,17667,17677,17689,17689,17683,17666,17623,17631,17642,17642,17642,17747,17740,17763,17776,17789,17845,17845,17799,17754,17705,17679,17675,17675,17675,17695,17714,17726,17737,17742,17785,17785,17732,17723,17654,17686,17687,17687,17687,17701,17663,17603,17529,17532,17531,17531,17486,17443,17379,17386,17386,17417,17417,17431,17433,17455,17476,17490,17490,17528,17484,17489,17475,17501,17501,17521,17521,17509,17525,17535,17550,17539,17539,17582,17507,17477,17442,17451,17451,17451,17473,17451,17351,17248,17181,17160,17160,17114,17116,17282,17310,17310,17212,17212,17136,17122,17053,17051,17066,17072,17072,17127,17272,17211,17125,17125,17053,17053,17042,17056,17005,17017,17051,17051,17094,17132,17232,17285,17367,17367,17454,17454,17461,17488,17427,17335,17319,17319,17289,17330,17282,17220,17339,17339,17339,17474,17601,17581,17532,17438,17372,17372,17346,17325,17290,17275,17275,17290,17290,17323,17291,17261,17262,17264,17264,17305,17300,17271,17252,17306,17306,17338,17338,17366,17366,17240,17096,17090,17061,17045,17045,17003,16959,16904,16917,16951,16951,17052,17052,16980,17006,17008,17055,17071,17071,17050,17028,17122,17188,17223,17223,17223,17249,17273,17280,17296,17318,17313,17313,17251,17288,17308,17345,17345,17418,17418,17221,17088,17041,17039,17019,17019,17005,17008,17020,17087,17172,17172,17162,17162,17181,17198,17201,17266,17260,17260,17218,17233,17248,17319,17366,17366,17411,17411,17411,17389,17370,17392,17407,17387,17368,17368,17355,17419,17416,17430,17430,17414,17414,17399,17329,17352,17319,17308,17283,17283,17296,17290,17276,17338,17338,17338,17329,17338,17363,17320,17363,17294,17294,17300,17313,17365,17340,17258,17258,17258,17235,17197,17192,17211,17163,17189,17189,17146,17113,17194,17199,17199,17209,17209,17204,17223,17194,17233,17210,17192,17192,17190,17192,17265,17282,17252,17252,17252,17242,17245,17281,17310,17267,17267,17288,17291,17303,17325,17432,17432,17392,17392,17406,17438,17504,17533,17524,17524,17534,17511,17539,17595,17618,17618,17620,17620,17606,0,0,0,0,0,0,0
001-SART-August2017-MB,211  Current Item: 3,A-DC1,95532.0,137030.0,17419,17416,17430,17430,17414,17414,17399,17329,17352,17319,17308,17283,17283,17296,17290,17276,17338,17338,17338,17329,17338,17363,17320,17363,17294,17294,17300,17313,17365,17340,17258,17258,17258,17235,17197,17192,17211,17163,17189,17189,17146,17113,17194,17199,17199,17209,17209,17204,17223,17194,17233,17210,17192,17192,17190,17192,17265,17282,17252,17252,17252,17242,17245,17281,17310,17267,17267,17288,17291,17303,17325,17432,17432,17392,17392,17406,17438,17504,17533,17524,17524,17534,17511,17539,17595,17618,17618,17620,17620,17606,17661,17657,17704,17692,17692,17690,17656,17697,17709,17709,17697,17697,17559,17455,17440,17409,17416,17364,17364,17340,17317,17350,17323,17323,17334,17334,17323,17282,17300,17299,17332,17324,17324,17285,17286,17316,17364,17318,17318,17325,17337,17377,17373,17383,17375,17375,17350,17378,17401,17404,17404,17369,17369,17327,17372,17385,17433,17421,17410,17410,17415,17443,17516,17582,17582,17600,17600,17633,17636,17663,17673,17736,17736,17682,17694,17707,17725,17732,17732,17732,17717,17682,17686,17671,17686,17720,17720,17707,17652,17678,17699,17699,17702,17702,17693,17693,17612,17537,17454,17440,17403,17403,17361,17318,17324,17338,17382,17382,17353,17353,17321,17331,17335,17330,17367,17367,17321,17285,17353,17408,17436,17436,17439,17439,17435,17424,17405,17395,17406,17406,17372,17382,17416,17420,17402,17402,17402,17404,17416,17425,17451,17468,17389,17389,17409,17396,17411,17400,17400,17408,17408,17363,17362,17352,17367,17368,17354,17354,17322,17351,17337,17364,17364,17371,17371,17372,17372,17327,17378,17391,17371,17378,17378,17371,17349,17381,17464,17510,17510,17507,17507,17497,17496,17558,17539,17521,17521,17518,17532,17551,17556,17541,17541,17541,17555,17544,17540,17559,17505,17441,17441,17416,17394,17456,17428,17428,17438,17438,17389,17402,17405,17418,17385,17371,17371,17391,17381,17416,17413,17413,17383,17383,17389,17403,17433,17435,17422,17422,17388,17411,17409,17446,17417,17417,17440,17440,17440,17455,17484,17473,17450,17450,17422,17385,17412,17449,17443,17443,17443,17424,17456,17453,17510,17448,17491,17491,17482,17497,17544,17564,17534,17534,17534,17541,0,0,0,0,0,0,0,0
001-SART-August2017-MB,211  Current Item: 3,A-DC1,134790.0,176300.0,17412,17449,17443,17443,17443,17424,17456,17453,17510,17448,17491,17491,17482,17497,17544,17564,17534,17534,17534,17541,17523,17545,17592,17560,17560,17539,17531,17537,17613,17593,17593,17598,17598,17633,17603,17619,17637,17618,17618,17597,17625,17632,17686,17661,17661,17661,17646,17632,17635,17669,17661,17642,17642,17591,17578,17596,17649,17617,17617,17618,17618,17618,17598,17624,17606,17607,17607,17598,17608,17608,17644,17641,17641,17641,17637,17646,17676,17701,17690,17675,17675,17665,17663,17689,17702,17679,17679,17698,17679,17693,17720,17690,17690,17686,17679,17688,17728,17710,17710,17688,17688,17674,17671,17703,17690,17684,17684,17652,17655,17686,17699,17655,17655,17655,17661,17693,17674,17736,17697,17720,17720,17708,17747,17802,17735,17726,17726,17754,17754,17720,17733,17698,17668,17653,17653,17671,17689,17710,17679,17681,17681,17681,17652,17679,17701,17673,17666,17644,17644,17644,17706,17748,17707,17698,17698,17713,17713,17708,17711,17699,17666,17682,17682,17687,17691,17748,17707,17676,17676,17676,17685,17679,17730,17720,17668,17695,17695,17704,17714,17751,17704,17704,17718,17718,17708,17708,17705,17752,17736,17725,17731,17731,17757,17753,17749,17729,17710,17710,17735,17735,17742,17753,17721,17684,17685,17685,17709,17711,17687,17656,17677,17677,17687,17688,17678,17655,17610,17633,17633,17597,17657,17659,17637,17628,17628,17628,17648,17673,17691,17628,17631,17645,17645,17645,17664,17640,17594,17594,17601,17601,17648,17664,17631,17637,17635,17626,17626,17649,17691,17641,17655,17663,17663,17663,17714,17714,17695,17685,17661,17674,17679,17690,17690,17714,17673,17661,17718,17718,17783,17783,17791,17763,17726,17757,17773,17773,17775,17780,17754,17727,17721,17721,17722,17722,17729,17717,17735,17670,17641,17641,17680,17622,17590,17572,17569,17569,17569,17614,17614,17594,17564,17546,17531,17551,17583,17583,17499,17994,18022,17960,17960,18096,18096,18080,18084,18163,18190,18256,18256,18260,18216,18148,18104,17985,17985,17844,17844,17749,17651,17616,17604,17661,17661,17626,17592,17659,17735,17812,17812,17812,17863,17933,17913,17891,17864,17884,17884,17932,17940,17915,17859,17844,17844,17844,0,0,0,0,0,0,0,0
001-SART-August2017-MB,211  Current Item: 3,A-DC1,139780.0,181280.0,17661,17661,17661,17646,17632,17635,17669,17661,17642,17642,17591,17578,17596,17649,17617,17617,17618,17618,17618,17598,17624,17606,17607,17607,17598,17608,17608,17644,17641,17641,17641,17637,17646,17676,17701,17690,17675,17675,17665,17663,17689,17702,17679,17679,17698,17679,17693,17720,17690,17690,17686,17679,17688,17728,17710,17710,17688,17688,17674,17671,17703,17690,17684,17684,17652,17655,17686,17699,17655,17655,17655,17661,17693,17674,17736,17697,17720,17720,17708,17747,17802,17735,17726,17726,17754,17754,17720,17733,17698,17668,17653,17653,17671,17689,17710,17679,17681,17681,17681,17652,17679,17701,17673,17666,17644,17644,17644,17706,17748,17707,17698,17698,17713,17713,17708,17711,17699,17666,17682,17682,17687,17691,17748,17707,17676,17676,17676,17685,17679,17730,17720,17668,17695,17695,17704,17714,17751,17704,17704,17718,17718,17708,17708,17705,17752,17736,17725,17731,17731,17757,17753,17749,17729,17710,17710,17735,17735,17742,17753,17721,17684,17685,17685,17709,17711,17687,17656,17677,17677,17687,17688,17678,17655,17610,17633,17633,17597,17657,17659,17637,17628,17628,17628,17648,17673,17691,17628,17631,17645,17645,17645,17664,17640,17594,17594,17601,17601,17648,17664,17631,17637,17635,17626,17626,17649,17691,17641,17655,17663,17663,17663,17714,17714,17695,17685,17661,17674,17679,17690,17690,17714,17673,17661,17718,17718,17783,17783,17791,17763,17726,17757,17773,17773,17775,17780,17754,17727,17721,17721,17722,17722,17729,17717,17735,17670,17641,17641,17680,17622,17590,17572,17569,17569,17569,17614,17614,17594,17564,17546,17531,17551,17583,17583,17499,17994,18022,17960,17960,18096,18096,18080,18084,18163,18190,18256,18256,18260,18216,18148,18104,17985,17985,17844,17844,17749,17651,17616,17604,17661,17661,17626,17592,17659,17735,17812,17812,17812,17863,17933,17913,17891,17864,17884,17884,17932,17940,17915,17859,17844,17844,17844,17846,17855,17936,17840,17657,17603,17607,17620,17714,17743,17743,17666,17666,17634,17639,17678,17718,17749,17749,17733,17728,17731,17795,17817,17817,17880,17880,17881,17871,17946,17956,17950,17950,17995,17949,17967,17992,18073,18073,18162,18162,18188,0,0,0,0,0,0,0,0,0
001-SART-August2017-MB,211  Current Item: 3,A-DC1,180630.0,222140.0,17967,17992,18073,18073,18162,18162,18188,18216,18247,18286,18331,18331,18327,18273,18271,18337,18315,18315,18178,18178,18029,17963,17995,18009,18075,18075,18100,18110,18105,18118,18146,18146,18191,18222,18176,18066,18008,17963,17963,17940,17948,17919,17996,17996,18061,18061,18098,18121,18083,18097,18122,18118,18118,18114,18114,18084,18050,18050,18104,18104,18056,18082,18096,18027,17999,18000,18000,18019,18012,17970,17973,17973,17923,17923,17902,17932,17908,17872,17852,17850,17850,17861,17875,17925,17860,17860,17769,17769,17707,17687,17647,17659,17619,17619,17609,17614,17638,17629,17592,17592,17592,17572,17603,17658,17714,17736,17710,17710,17715,17739,17795,17855,17930,17930,17930,17902,17947,17968,17987,18012,18001,18001,17973,17952,17939,17971,17971,17882,17882,17839,17821,17765,17749,17788,17788,17793,17760,17750,17756,17772,17772,17835,17835,17872,17793,17743,17748,17702,17702,17698,17725,17686,17700,17684,17684,17701,17701,17715,17692,17667,17663,17688,17688,17757,17723,17684,17647,17679,17679,17679,17761,17770,17820,17777,17780,17794,17794,17805,17823,17836,17830,17830,17871,17871,17817,17817,17859,17844,17805,17768,17752,17752,17771,17756,17783,17790,17809,17809,17848,17848,17838,17750,17717,17650,17625,17625,17631,17656,17675,17648,17639,17639,17640,17640,17639,17681,17668,17647,17657,17657,17651,17670,17714,17688,17642,17642,17642,17654,17671,17667,17663,17638,17621,17621,17639,17628,17663,17677,17677,17651,17651,17648,17677,17706,17718,17684,17679,17679,17664,17677,17745,17747,17747,17755,17755,17745,17745,17799,17832,17861,17878,17877,17877,17856,17891,17963,17989,17990,17990,17973,17973,17915,17839,17827,17780,17760,17760,17777,17765,17760,17736,17669,17669,17669,17583,17595,17610,17667,17688,17693,17693,17670,17686,17699,17759,17759,17682,17682,17643,17543,17553,17520,17542,17542,17623,17642,17671,17673,17649,17649,17643,17643,17605,17576,17571,17605,17609,17609,17595,17576,17566,17607,17651,17651,17742,17742,17730,17667,17607,17586,17584,17604,17604,17576,17534,17545,17613,17613,17638,17638,17639,17638,17670,17697,17696,17696,17738,17745,17732,17728,17765,17765,17841,17841,0,0,0,0,0,0,0,0
001-SART-August2017-MB,211  Current Item: 3,A-DC1,201970.0,243470.0,17830,17830,17871,17871,17817,17817,17859,17844,17805,17768,17752,17752,17771,17756,17783,17790,17809,17809,17848,17848,17838,17750,17717,17650,17625,17625,17631,17656,17675,17648,17639,17639,17640,17640,17639,17681,17668,17647,17657,17657,17651,17670,17714,17688,17642,17642,17642,17654,17671,17667,17663,17638,17621,17621,17639,17628,17663,17677,17677,17651,17651,17648,17677,17706,17718,17684,17679,17679,17664,17677,17745,17747,17747,17755,17755,17745,17745,17799,17832,17861,17878,17877,17877,17856,17891,17963,17989,17990,17990,17973,17973,17915,17839,17827,17780,17760,17760,17777,17765,17760,17736,17669,17669,17669,17583,17595,17610,17667,17688,17693,17693,17670,17686,17699,17759,17759,17682,17682,17643,17543,17553,17520,17542,17542,17623,17642,17671,17673,17649,17649,17643,17643,17605,17576,17571,17605,17609,17609,17595,17576,17566,17607,17651,17651,17742,17742,17730,17667,17607,17586,17584,17604,17604,17576,17534,17545,17613,17613,17638,17638,17639,17638,17670,17697,17696,17696,17738,17745,17732,17728,17765,17765,17841,17841,17786,17668,17620,17566,17530,17530,17556,17523,17479,17502,17502,17509,17509,17570,17570,17495,17464,17423,17444,17466,17466,17511,17500,17545,17605,17630,17630,17689,17689,17696,17708,17693,17734,17674,17674,17573,17527,17471,17472,17469,17469,17479,17479,17437,17423,17417,17455,17505,17505,17463,17441,17423,17438,17491,17491,17491,17507,17538,17496,17515,17545,17564,17564,17559,17538,17508,17547,17569,17569,17569,17596,17602,17558,17606,17609,17609,17650,17647,17635,17629,17629,17629,17670,17670,17658,17658,17651,17665,17694,17691,17726,17726,17798,17835,17841,17852,17868,17868,17907,17907,17955,17947,17950,17927,17928,17928,17960,17908,17790,17756,17737,17737,17726,17726,17728,17711,17725,17702,17688,17688,17706,17679,17737,17822,17838,17838,17838,17748,17675,17642,17647,17639,17639,17646,17639,17643,17653,17675,17675,17707,17707,17668,17680,17729,17777,17788,17788,17768,17782,17830,17863,17823,17823,17788,17788,17783,17798,17824,17795,17745,17745,17715,17682,17703,17708,17660,17660,17599,17599,17589,17602,17613,17555,17538,17538,17504,17531,17535,17564,17504,17504,17502,17502,0,0,0,0,0
001-SART-August2017-MB,211  Current Item: 3,A-DC1,250870.0,292410.0,17601,17632,17646,17646,17646,17649,17649,17637,17662,17622,17660,17660,17676,17643,17592,17632,17635,17635,17635,17660,17609,17558,17538,17553,17553,17570,17562,17537,17515,17498,17498,17520,17520,17564,17526,17494,17496,17508,17508,17559,17587,17577,17557,17567,17567,17567,17582,17604,17641,17657,17610,17615,17615,17615,17626,17660,17618,17596,17596,17596,17601,17630,17631,17646,17600,17549,17549,17574,17602,17636,17574,17574,17561,17561,17587,17584,17583,17599,17600,17600,17593,17611,17643,17655,17662,17662,17644,17644,17635,17653,17678,17659,17639,17639,17612,17619,17631,17721,17691,17691,17691,17697,17698,17699,17765,17752,17732,17732,17718,17734,17749,17773,17773,17739,17739,17654,17631,17590,17619,17614,17577,17577,17521,17545,17553,17607,17607,17539,17539,17497,17477,17499,17568,17524,17524,17481,17488,17499,17528,17548,17548,17512,17512,17477,17439,17478,17521,17485,17485,17461,17435,17448,17473,17505,17505,17479,17479,17440,17446,17461,17506,17454,17454,17410,17399,17405,17451,17489,17489,17489,17480,17424,17424,17438,17486,17496,17496,17521,17471,17513,17517,17517,17602,17602,17530,17530,17512,17534,17531,17617,17569,17569,17543,17518,17533,17595,17621,17621,17556,17556,17513,17498,17523,17550,17520,17520,17509,17540,17544,17568,17581,17581,17567,17567,17550,17531,17541,17606,17551,17551,17534,17532,17555,17598,17585,17585,17573,17573,17569,17570,17589,17592,17563,17563,17566,17554,17617,17638,17611,17611,17611,17570,17584,17609,17621,17638,17638,17584,17563,17568,17574,17620,17620,17547,17547,17531,17531,17511,17525,17550,17539,17492,17492,17497,17484,17502,17542,17755,17755,17670,17670,17659,17710,17781,17854,17861,17861,17859,17880,17914,17962,17944,17944,17885,17885,17927,17930,17973,17924,17933,17933,17926,17937,17964,17975,17897,17897,17897,17920,17933,17921,17958,17928,17922,17922,17943,17936,17968,17904,17904,17862,17862,17856,17876,17906,17981,17938,17888,17888,17920,17959,17961,17949,17949,17938,17938,17949,17978,18038,18018,18006,18006,17979,18007,18031,18054,18070,18070,18026,18026,18018,18028,18088,18027,18056,18056,18016,18051,18071,18121,18092,18092,18076,18076,0,0,0,0,0,0,0,0
001-SART-August2017-MB,211  Current Item: 3,A-DC1,273900.0,315410.0,17595,17621,17621,17556,17556,17513,17498,17523,17550,17520,17520,17509,17540,17544,17568,17581,17581,17567,17567,17550,17531,17541,17606,17551,17551,17534,17532,17555,17598,17585,17585,17573,17573,17569,17570,17589,17592,17563,17563,17566,17554,17617,17638,17611,17611,17611,17570,17584,17609,17621,17638,17638,17584,17563,17568,17574,17620,17620,17547,17547,17531,17531,17511,17525,17550,17539,17492,17492,17497,17484,17502,17542,17755,17755,17670,17670,17659,17710,17781,17854,17861,17861,17859,17880,17914,17962,17944,17944,17885,17885,17927,17930,17973,17924,17933,17933,17926,17937,17964,17975,17897,17897,17897,17920,17933,17921,17958,17928,17922,17922,17943,17936,17968,17904,17904,17862,17862,17856,17876,17906,17981,17938,17888,17888,17920,17959,17961,17949,17949,17938,17938,17949,17978,18038,18018,18006,18006,17979,18007,18031,18054,18070,18070,18026,18026,18018,18028,18088,18027,18056,18056,18016,18051,18071,18121,18092,18092,18076,18076,18045,18077,18112,18093,18092,18092,18068,18035,18064,18100,18054,18054,18054,18038,18019,18000,18018,18038,18014,18014,18016,17984,18005,18081,18081,18062,18062,18031,18031,17975,17985,18011,18014,18021,18021,17957,17931,17957,18001,17971,17971,17919,17919,17874,17886,17926,17971,17944,17944,17930,17896,17911,17884,17912,17912,17908,17908,17892,17858,17892,17936,17926,17926,17919,17852,17882,17885,17975,17975,18018,18018,18058,18060,18071,18103,18121,18121,18141,18104,18092,18097,18080,18080,18080,18059,18023,18006,17921,17902,17839,17839,17818,17786,17720,17708,17665,17665,17665,17684,17684,17641,17625,17608,17633,17647,17647,17703,17716,17704,17670,17792,17792,17849,17849,17912,17924,17966,17944,18014,18014,18048,17996,17990,17963,17932,17932,17944,17992,17958,17881,17898,17877,17877,17862,17800,17684,17532,17424,17424,17424,17400,17399,17437,17459,17505,17505,17507,17579,17612,17622,17620,17620,17602,17602,17603,17632,17626,17604,17565,17565,17533,17572,17630,17555,17449,17449,17405,17405,17380,17383,17424,17448,17410,17410,17392,17437,17460,17491,17490,17490,17518,17518,17527,17596,17697,17697,17746,17746,17761,17754,17740,17732,17655,17655,17638,0,0,0,0,0,0,0,0
